"age" "tm" "tf"
"0-1" 690 527
"1-2" 48 19
"2-3" 22 23
"3-4" 24 21
"4-5" 10 12
"5-6" 31 6
"6-7" 19 10
"7-8" 15 21
"8-9" 25 17
"9-10" 12 17
"10-11" 15 9
"11-12" 16 11
"12-13" 26 13
"13-14" 21 11
"14-15" 27 13
"15-16" 48 22
"16-17" 56 52
"17-18" 68 38
"18-19" 96 38
"19-20" 104 37
"20-21" 94 49
"21-22" 112 52
"22-23" 121 43
"23-24" 129 44
"24-25" 85 38
"25-26" 86 31
"26-27" 92 41
"27-28" 90 38
"28-29" 107 60
"29-30" 95 47
"30-31" 76 24
"31-32" 102 47
"32-33" 114 73
"33-34" 120 52
"34-35" 120 51
"35-36" 114 78
"36-37" 138 55
"37-38" 167 73
"38-39" 146 113
"39-40" 146 95
"40-41" 172 109
"41-42" 184 94
"42-43" 210 85
"43-44" 217 136
"44-45" 196 158
"45-46" 242 156
"46-47" 222 179
"47-48" 313 185
"48-49" 344 202
"49-50" 422 196
"50-51" 340 164
"51-52" 419 237
"52-53" 473 278
"53-54" 483 346
"54-55" 496 410
"55-56" 600 398
"56-57" 675 390
"57-58" 753 519
"58-59" 844 547
"59-60" 936 639
"60-61" 893 652
"61-62" 1000 720
"62-63" 1178 791
"63-64" 1417 813
"64-65" 1471 922
"65-66" 1662 1018
"66-67" 1715 1157
"67-68" 2011 1247
"68-69" 2134 1287
"69-70" 2464 1501
"70-71" 2381 1612
"71-72" 2887 1757
"72-73" 3289 2021
"73-74" 3426 2092
"74-75" 3877 2345
"75-76" 4052 2688
"76-77" 4909 2986
"77-78" 4932 3120
"78-79" 5622 3188
"79-80" 5976 3962
"80-81" 6904 4011
"81-82" 7746 4747
"82-83" 8306 5726
"83-84" 8708 5953
"84-85" 10239 6401
"85-86" 11700 7760
"86-87" 13367 8453
"87-88" 13765 9334
"88-89" 14163 10811
"89-90" 16641 11691
"90-91" 16276 13313
"91-92" 19386 15347
"92-93" 20879 16963
"93-94" 22306 19140
"94-95" 26532 19216
"95-96" 26930 22643
"96-97" 30038 21151
"97-98" 38402 25261
"98-99" 30986 27854
"99-100" 30367 25704
