"age" "tm" "wm" "bm" "tf" "wf" "bf"
"0-1" 761 608 637 505 1556 1245
"1-2" 52 41 46 37 86 61
"2-3" 37 30 33 27 54 46
"3-4" 29 22 26 20 44 32
"4-5" 22 17 20 17 29 18
"5-6" 20 16 18 15 28 22
"6-7" 18 14 17 13 24 19
"7-8" 16 13 16 12 21 17
"8-9" 15 12 14 11 19 16
"9-10" 13 11 12 10 17 16
"10-11" 11 10 10 9 17 16
"11-12" 12 11 11 10 19 18
"12-13" 18 13 16 12 26 19
"13-14" 29 17 27 16 39 22
"14-15" 44 23 42 23 56 24
"15-16" 62 29 60 30 76 28
"16-17" 79 36 76 37 98 32
"17-18" 95 41 91 42 121 37
"18-19" 108 44 103 44 145 43
"19-20" 119 46 112 45 168 51
"20-21" 129 47 121 46 192 58
"21-22" 139 49 129 46 215 66
"22-23" 145 50 133 47 232 72
"23-24" 146 51 133 47 241 77
"24-25" 142 52 130 47 245 80
"25-26" 138 52 124 48 246 83
"26-27" 133 53 120 48 249 88
"27-28" 131 55 117 49 250 93
"28-29" 131 57 118 51 251 99
"29-30" 134 60 121 54 251 105
"30-31" 138 63 125 56 251 112
"31-32" 142 67 130 60 253 120
"32-33" 147 72 136 64 258 130
"33-34" 154 78 142 69 268 142
"34-35" 163 85 150 76 282 158
"35-36" 173 94 159 83 299 174
"36-37" 185 103 170 91 318 192
"37-38" 199 114 184 100 341 211
"38-39" 217 126 201 111 367 232
"39-40" 236 138 220 123 396 253
"40-41" 257 151 240 135 426 275
"41-42" 278 164 260 147 459 297
"42-43" 301 178 281 160 499 322
"43-44" 327 193 305 173 546 350
"44-45" 357 208 332 187 603 381
"45-46" 389 226 361 202 663 415
"46-47" 422 244 392 218 726 450
"47-48" 458 263 423 236 796 486
"48-49" 493 282 455 253 872 524
"49-50" 530 303 488 272 955 564
"50-51" 571 325 523 292 1048 608
"51-52" 615 350 562 314 1146 654
"52-53" 661 379 605 341 1239 700
"53-54" 707 410 650 373 1320 745
"54-55" 756 446 699 409 1396 790
"55-56" 808 485 752 449 1474 839
"56-57" 866 528 810 493 1565 897
"57-58" 933 576 876 541 1672 965
"58-59" 1013 631 953 594 1800 1044
"59-60" 1106 694 1043 655 1945 1134
"60-61" 1216 767 1149 726 2107 1234
"61-62" 1338 849 1269 807 2280 1342
"62-63" 1466 934 1394 890 2452 1451
"63-64" 1592 1016 1519 970 2614 1557
"64-65" 1719 1097 1645 1050 2766 1661
"65-66" 1854 1186 1781 1138 2912 1767
"66-67" 2009 1290 1938 1242 3070 1883
"67-68" 2185 1409 2116 1362 3258 2015
"68-69" 2384 1543 2317 1496 3493 2171
"69-70" 2605 1692 2538 1645 3776 2350
"70-71" 2832 1847 2762 1800 4085 2541
"71-72" 3069 2014 2998 1968 4405 2741
"72-73" 3344 2207 3272 2161 4750 2966
"73-74" 3669 2432 3600 2387 5117 3220
"74-75" 4040 2684 3976 2642 5504 3496
"75-76" 4429 2945 4370 2904 5911 3788
"76-77" 4827 3216 4771 3175 6337 4090
"77-78" 5260 3526 5208 3488 6786 4407
"78-79" 5745 3895 5700 3864 7262 4747
"79-80" 6291 4325 6256 4305 7772 5119
"80-81" 6907 4795 6883 4785 8336 5523
"81-82" 7576 5297 7565 5296 8936 5963
"82-83" 8284 5863 8290 5871 9530 6460
"83-84" 9022 6515 9049 6535 10090 7035
"84-85" 9814 7271 9866 7305 10635 7704
"85-86" 10699 8014 10781 8070 11362 8315
"86-87" 11654 8826 11768 8908 12131 8969
"87-88" 12680 9711 12832 9823 12945 9669
"88-89" 13782 10674 13975 10820 13803 10417
"89-90" 14961 11719 15201 11904 14708 11216
"90-91" 16220 12851 16511 13080 15660 12066
"91-92" 17561 14074 17908 14351 16661 12972
"92-93" 18986 15392 19394 15723 17712 13935
"93-94" 20495 16807 20968 17198 18812 14956
"94-95" 22087 18322 22630 18778 19963 16037
"95-96" 23763 19939 24380 20466 21164 17180
"96-97" 25520 21658 26214 22261 22415 18386
"97-98" 27355 23479 28128 24162 23715 19655
"98-99" 29265 25400 30120 26168 25064 20988
"99-100" 31244 27418 32182 28273 26461 22386
