"age" "tm" "wm" "bm" "tf" "wf" "bf"
"0-1" 785 655 648 542 1579 1285
"1-2" 58 51 49 44 116 90
"2-3" 40 32 36 28 67 52
"3-4" 29 24 25 21 52 44
"4-5" 24 19 21 17 42 29
"5-6" 22 18 20 15 39 31
"6-7" 22 16 19 14 37 27
"7-8" 21 15 18 13 34 24
"8-9" 19 14 17 13 30 22
"9-10" 16 13 15 12 25 20
"10-11" 14 13 13 11 21 19
"11-12" 15 13 13 12 20 18
"12-13" 21 15 19 14 29 19
"13-14" 34 20 31 19 48 23
"14-15" 51 26 47 26 74 27
"15-16" 70 32 65 33 102 32
"16-17" 87 39 81 40 128 38
"17-18" 102 43 94 44 152 43
"18-19" 113 45 104 45 174 49
"19-20" 122 45 111 44 193 54
"20-21" 131 45 118 42 216 61
"21-22" 141 45 126 41 240 69
"22-23" 147 46 130 40 257 76
"23-24" 148 47 130 41 265 82
"24-25" 145 49 127 42 265 86
"25-26" 141 51 123 44 262 91
"26-27" 138 53 120 46 261 97
"27-28" 136 56 119 48 261 104
"28-29" 139 59 121 51 264 111
"29-30" 143 63 125 54 271 120
"30-31" 149 67 131 57 278 130
"31-32" 155 72 137 61 286 140
"32-33" 162 78 144 66 296 151
"33-34" 170 85 152 72 310 165
"34-35" 179 92 160 79 326 180
"35-36" 188 99 169 86 343 196
"36-37" 199 107 179 93 362 212
"37-38" 211 115 190 100 385 229
"38-39" 225 124 203 107 415 248
"39-40" 243 134 219 115 450 270
"40-41" 262 144 236 124 488 293
"41-42" 282 155 254 134 529 316
"42-43" 304 167 273 144 576 342
"43-44" 328 180 294 155 632 369
"44-45" 354 193 317 167 696 397
"45-46" 385 209 342 180 771 430
"46-47" 418 226 371 195 852 465
"47-48" 452 245 401 213 931 499
"48-49" 486 267 433 235 1001 532
"49-50" 521 292 466 260 1065 565
"50-51" 559 320 503 288 1134 601
"51-52" 601 350 544 319 1216 643
"52-53" 650 383 590 351 1306 693
"53-54" 705 420 643 385 1402 751
"54-55" 769 459 704 423 1504 815
"55-56" 843 506 776 466 1608 884
"56-57" 927 558 858 516 1719 959
"57-58" 1019 615 947 571 1849 1039
"58-59" 1119 676 1042 630 2006 1126
"59-60" 1226 742 1144 693 2185 1220
"60-61" 1344 816 1256 765 2387 1324
"61-62" 1477 900 1384 848 2592 1435
"62-63" 1621 989 1526 936 2772 1544
"63-64" 1773 1081 1682 1028 2904 1645
"64-65" 1932 1175 1848 1123 2998 1741
"65-66" 2091 1269 2016 1219 3064 1828
"66-67" 2258 1371 2193 1324 3146 1925
"67-68" 2452 1495 2394 1448 3291 2065
"68-69" 2683 1645 2627 1596 3540 2271
"69-70" 2946 1819 2887 1764 3890 2536
"70-71" 3225 2005 3160 1941 4307 2847
"71-72" 3506 2195 3435 2123 4738 3166
"72-73" 3801 2394 3724 2317 5165 3467
"73-74" 4108 2605 4031 2528 5533 3716
"74-75" 4434 2832 4360 2761 5843 3919
"75-76" 4774 3071 4705 3007 6144 4110
"76-77" 5138 3332 5072 3275 6483 4332
"77-78" 5551 3642 5493 3591 6861 4607
"78-79" 6045 4022 5996 3976 7324 4979
"79-80" 6635 4478 6597 4433 7904 5455
"80-81" 7348 4996 7321 4950 8629 6015
"81-82" 8163 5570 8147 5523 9477 6629
"82-83" 9038 6220 9031 6174 10399 7306
"83-84" 9903 6949 9905 6908 11248 8012
"84-85" 10752 7759 10768 7731 11945 8737
"85-86" 11761 8603 11798 8581 12760 9489
"86-87" 12831 9510 12896 9501 13610 10290
"87-88" 13959 10481 14062 10494 14493 11142
"88-89" 15146 11516 15297 11563 15409 12047
"89-90" 16389 12615 16601 12710 16357 13005
"90-91" 17687 13777 17973 13937 17335 14019
"91-92" 19035 15001 19412 15245 18343 15089
"92-93" 20431 16284 20916 16635 19378 16215
"93-94" 21869 17624 22483 18108 20440 17400
"94-95" 23346 19015 24109 19663 21525 18643
"95-96" 24855 20455 25792 21300 22632 19944
"96-97" 26390 21937 27526 23018 23758 21305
"97-98" 27943 23455 29307 24814 24901 22724
"98-99" 29508 25003 31128 26685 26057 24200
"99-100" 31077 26572 32983 28627 27223 25734
