"age" "tm" "wm" "bm" "tf" "wf" "bf"
"0-1" 734 605 612 501 1448 1223
"1-2" 46 43 40 39 77 61
"2-3" 32 28 30 23 46 48
"3-4" 24 18 23 17 37 24
"4-5" 20 16 18 15 27 25
"5-6" 19 15 17 13 28 22
"6-7" 18 13 16 12 26 18
"7-8" 16 12 15 12 25 16
"8-9" 14 11 13 10 21 14
"9-10" 11 10 10 9 15 14
"10-11" 8 9 8 8 11 14
"11-12" 8 9 8 8 10 15
"12-13" 14 11 13 10 17 17
"13-14" 25 16 24 15 35 20
"14-15" 42 21 39 21 59 24
"15-16" 59 28 55 28 86 28
"16-17" 76 33 70 34 111 32
"17-18" 92 38 85 39 134 37
"18-19" 106 41 99 42 154 42
"19-20" 119 43 112 43 171 48
"20-21" 133 45 125 44 188 55
"21-22" 146 48 137 46 207 62
"22-23" 154 49 145 47 221 68
"23-24" 155 51 146 48 230 73
"24-25" 153 52 143 49 234 76
"25-26" 148 53 138 50 236 80
"26-27" 144 55 134 51 239 85
"27-28" 142 56 130 52 241 90
"28-29" 141 58 129 53 245 94
"29-30" 142 60 130 55 249 100
"30-31" 144 63 132 58 255 107
"31-32" 146 67 134 61 260 115
"32-33" 150 72 138 65 272 125
"33-34" 154 77 142 70 274 134
"34-35" 159 83 147 75 283 145
"35-36" 165 89 153 81 292 156
"36-37" 174 97 161 88 305 169
"37-38" 185 106 172 96 320 184
"38-39" 200 117 187 106 339 203
"39-40" 218 129 205 117 362 225
"40-41" 238 142 224 129 388 247
"41-42" 259 156 244 142 416 270
"42-43" 283 171 267 156 449 296
"43-44" 309 188 292 171 490 324
"44-45" 337 205 318 187 538 354
"45-46" 366 224 345 204 588 387
"46-47" 397 242 374 221 641 420
"47-48" 431 262 404 239 704 454
"48-49" 469 281 439 257 780 489
"49-50" 512 302 478 276 870 527
"50-51" 560 325 521 297 972 568
"51-52" 611 350 567 320 1079 612
"52-53" 662 377 614 347 1183 658
"53-54" 710 407 659 375 1275 704
"54-55" 757 438 704 406 1355 750
"55-56" 804 471 749 439 1435 799
"56-57" 855 506 797 473 1523 850
"57-58" 911 546 852 512 1614 905
"58-59" 978 593 918 560 1716 967
"59-60" 1058 649 997 616 1835 1038
"60-61" 1154 718 1093 685 1977 1122
"61-62" 1263 797 1201 764 2138 1220
"62-63" 1380 878 1316 844 2311 1326
"63-64" 1495 955 1429 919 2473 1430
"64-65" 1607 1028 1540 990 2618 1529
"65-66" 1727 1107 1660 1068 2754 1628
"66-67" 1852 1188 1785 1149 2903 1725
"67-68" 1997 1286 1929 1247 3082 1837
"68-69" 2163 1401 2095 1363 3302 1970
"69-70" 2356 1536 2287 1499 3556 2125
"70-71" 2574 1690 2500 1653 3831 2298
"71-72" 2822 1865 2746 1830 4123 2493
"72-73" 3110 2068 3032 2032 4448 2718
"73-74" 3437 2300 3360 2263 4807 2974
"74-75" 3800 2564 3725 2526 5200 3262
"75-76" 4202 2864 4129 2825 5622 3581
"76-77" 4634 3189 4564 3151 6043 3907
"77-78" 5107 3550 5042 3514 6494 4262
"78-79" 5626 3950 5567 3917 6975 4647
"79-80" 6194 4393 6144 4364 7489 5065
"80-81" 6816 4883 6776 4859 8038 5519
"81-82" 7495 5425 7468 5408 8624 6011
"82-83" 8235 6023 8224 6014 9248 6544
"83-84" 9042 6682 9049 6684 9912 7120
"84-85" 9919 7408 9948 7422 10618 7743
"85-86" 10870 8206 10926 8235 11368 8415
"86-87" 11902 9081 11987 9128 12164 9140
"87-88" 13016 10039 13136 10108 13008 9921
"88-89" 14218 11086 14377 11179 13901 10760
"89-90" 15512 12228 15714 12348 14844 11662
"90-91" 16900 13469 17150 13621 15840 12628
"91-92" 18384 14815 18689 15003 16890 13661
"92-93" 19969 16270 20332 16498 17994 14766
"93-94" 21653 17838 22080 18110 19153 15943
"94-95" 23438 19522 23933 19842 20369 17194
"95-96" 25322 21323 25890 21696 21641 18523
"96-97" 27304 23243 27949 23673 22970 19929
"97-98" 29380 25280 30104 25770 24355 21414
"98-99" 31546 27432 32352 27984 25796 22978
"99-100" 33794 29694 34683 30312 27291 24620
