"age" "tm" "wm" "bm" "tf" "wf" "bf"
"0-1" 795 617 667 536 1549 1283
"1-2" 60 50 53 45 105 80
"2-3" 41 32 36 27 69 55
"3-4" 33 25 29 23 58 39
"4-5" 26 20 23 17 39 32
"5-6" 23 19 20 16 38 33
"6-7" 22 18 19 15 35 31
"7-8" 21 17 19 14 32 29
"8-9" 19 15 17 13 28 26
"9-10" 16 14 15 12 23 24
"10-11" 14 14 13 12 18 23
"11-12" 15 14 14 12 18 22
"12-13" 21 16 20 15 28 23
"13-14" 35 21 33 20 49 27
"14-15" 54 27 50 26 79 32
"15-16" 74 34 68 34 111 38
"16-17" 93 41 85 41 140 44
"17-18" 109 46 99 46 167 50
"18-19" 120 48 107 47 192 54
"19-20" 127 48 113 46 215 59
"20-21" 135 48 118 45 241 64
"21-22" 144 48 124 45 268 70
"22-23" 149 49 128 44 287 76
"23-24" 150 50 128 45 294 83
"24-25" 148 52 126 46 292 89
"25-26" 145 54 124 47 285 96
"26-27" 142 55 122 48 281 104
"27-28" 142 58 122 50 281 111
"28-29" 146 61 126 52 285 118
"29-30" 151 65 132 56 294 126
"30-31" 158 69 139 59 304 133
"31-32" 165 74 146 63 314 141
"32-33" 173 79 153 68 327 153
"33-34" 181 85 160 73 343 168
"34-35" 189 92 168 78 362 185
"35-36" 198 99 175 84 383 204
"36-37" 208 107 183 90 406 222
"37-38" 220 115 194 97 431 240
"38-39" 234 123 206 104 460 257
"39-40" 250 133 221 113 494 275
"40-41" 269 144 238 123 529 293
"41-42" 289 156 256 134 568 314
"42-43" 310 168 276 145 615 337
"43-44" 335 182 297 157 672 364
"44-45" 361 196 319 169 738 394
"45-46" 391 212 344 183 815 429
"46-47" 424 230 372 200 897 465
"47-48" 458 250 402 219 974 502
"48-49" 492 273 435 241 1040 537
"49-50" 528 298 471 267 1098 573
"50-51" 567 327 512 296 1161 613
"51-52" 612 359 557 327 1238 661
"52-53" 662 393 605 361 1325 715
"53-54" 719 431 659 396 1422 773
"54-55" 784 472 719 436 1526 834
"55-56" 860 520 790 482 1630 896
"56-57" 947 576 874 536 1740 963
"57-58" 1045 637 968 595 1872 1042
"58-59" 1150 701 1068 656 2034 1136
"59-60" 1262 769 1176 720 2225 1246
"60-61" 1383 844 1291 791 2443 1371
"61-62" 1517 928 1420 871 2664 1500
"62-63" 1663 1015 1565 956 2853 1618
"63-64" 1817 1103 1724 1045 2981 1710
"64-65" 1979 1193 1894 1137 3063 1785
"65-66" 2137 1280 2063 1229 3109 1842
"66-67" 2301 1375 2235 1327 3176 1915
"67-68" 2490 1490 2430 1443 3318 2041
"68-69" 2718 1634 2659 1584 3587 2251
"69-70" 2985 1806 2920 1748 3978 2538
"70-71" 3275 1993 3200 1924 4461 2883
"71-72" 3573 2187 3489 2108 4963 3236
"72-73" 3882 2391 3792 2307 5439 3553
"73-74" 4200 2607 4110 2526 5802 3782
"74-75" 4527 2838 4445 2765 6056 3938
"75-76" 4869 3083 4796 3021 6278 4068
"76-77" 5238 3353 5174 3301 6548 4236
"77-78" 5656 3666 5601 3623 6866 4470
"78-79" 6149 4041 6103 4002 7293 4821
"79-80" 6734 4483 6699 4445 7854 5292
"80-81" 7432 4978 7408 4939 8545 5843
"81-82" 8227 5526 8216 5485 9327 6434
"82-83" 9093 6152 9094 6114 10191 7088
"83-84" 9981 6872 9993 6841 11035 7786
"84-85" 10893 7692 10919 7675 11807 8527
"85-86" 11874 8526 11925 8519 12545 9233
"86-87" 12892 9454 12973 9458 13309 10001
"87-88" 13988 10466 14100 10486 14110 10828
"88-89" 15177 11573 15323 11617 14950 11714
"89-90" 16461 12789 16647 12858 15825 12658
"90-91" 17823 14105 18057 14204 16727 13657
"91-92" 19237 15496 19528 15629 17647 14704
"92-93" 20676 16946 21039 17118 18577 15795
"93-94" 22133 18463 22584 18680 19507 16927
"94-95" 23603 20067 24161 20327 20432 18094
"95-96" 25091 21749 25765 22053 21351 19295
"96-97" 26594 23482 27384 23833 22268 20526
"97-98" 28103 25230 29004 25630 23184 21787
"98-99" 29615 26968 30617 27425 24099 23075
"99-100" 31127 28688 32222 29213 25013 24387
