"age" "tm" "wm" "bm" "tf" "wf" "bf"
"0-1" 757 616 633 511 1520 1232
"1-2" 52 41 48 37 72 60
"2-3" 36 26 34 24 45 32
"3-4" 26 18 22 17 44 26
"4-5" 21 16 20 14 25 30
"5-6" 19 15 17 14 27 23
"6-7" 18 14 16 13 25 21
"7-8" 16 14 15 12 23 19
"8-9" 14 12 13 12 20 18
"9-10" 11 11 10 10 17 17
"10-11" 10 10 8 9 15 16
"11-12" 10 11 9 9 16 17
"12-13" 16 12 14 11 24 18
"13-14" 28 16 26 16 39 21
"14-15" 44 22 41 21 60 25
"15-16" 61 28 58 28 83 29
"16-17" 78 34 73 34 106 34
"17-18" 93 39 88 39 129 39
"18-19" 107 42 101 42 150 44
"19-20" 119 44 112 43 170 49
"20-21" 131 45 122 44 192 54
"21-22" 142 47 133 45 212 60
"22-23" 149 49 138 46 228 65
"23-24" 150 50 139 47 235 70
"24-25" 147 50 136 47 237 74
"25-26" 143 51 131 47 236 78
"26-27" 139 52 127 47 235 82
"27-28" 137 54 124 48 236 88
"28-29" 136 56 124 51 241 95
"29-30" 138 60 125 54 248 103
"30-31" 141 64 128 57 256 112
"31-32" 144 68 131 62 264 122
"32-33" 148 74 135 67 277 132
"33-34" 152 78 139 71 278 140
"34-35" 157 84 144 76 284 150
"35-36" 164 90 150 82 292 160
"36-37" 172 98 159 88 303 172
"37-38" 185 107 171 97 319 187
"38-39" 202 118 188 107 339 207
"39-40" 222 132 209 119 363 229
"40-41" 244 145 230 131 388 252
"41-42" 266 158 252 144 416 276
"42-43" 290 173 274 157 452 301
"43-44" 316 189 298 171 500 330
"44-45" 344 206 324 187 557 362
"45-46" 374 225 350 204 619 396
"46-47" 405 245 379 222 683 430
"47-48" 440 264 410 240 751 467
"48-49" 479 284 445 258 826 507
"49-50" 522 305 484 276 907 549
"50-51" 569 328 527 296 997 596
"51-52" 619 353 573 319 1094 646
"52-53" 669 381 618 345 1191 693
"53-54" 716 409 662 374 1283 734
"54-55" 760 440 705 405 1369 771
"55-56" 806 472 748 439 1458 808
"56-57" 856 507 796 475 1554 851
"57-58" 914 548 852 516 1657 903
"58-59" 987 598 923 566 1771 970
"59-60" 1075 658 1010 624 1900 1054
"60-61" 1181 730 1116 694 2050 1154
"61-62" 1298 812 1232 773 2218 1264
"62-63" 1420 895 1352 854 2390 1379
"63-64" 1534 975 1464 932 2544 1486
"64-65" 1642 1052 1572 1009 2679 1583
"65-66" 1757 1137 1687 1094 2804 1682
"66-67" 1883 1224 1813 1182 2941 1782
"67-68" 2036 1327 1967 1287 3117 1900
"68-69" 2220 1447 2152 1407 3344 2043
"69-70" 2434 1586 2364 1546 3613 2211
"70-71" 2672 1743 2597 1702 3905 2397
"71-72" 2935 1922 2856 1881 4215 2605
"72-73" 3229 2131 3150 2088 4556 2844
"73-74" 3560 2370 3482 2326 4929 3114
"74-75" 3931 2643 3854 2597 5332 3412
"75-76" 4345 2953 4268 2906 5765 3738
"76-77" 4791 3290 4718 3244 6204 4079
"77-78" 5281 3663 5212 3618 6674 4450
"78-79" 5817 4076 5756 4034 7177 4853
"79-80" 6405 4534 6351 4496 7714 5290
"80-81" 7047 5041 7004 5008 8289 5764
"81-82" 7749 5601 7719 5575 8902 6279
"82-83" 8514 6219 8500 6202 9556 6835
"83-84" 9346 6901 9352 6894 10252 7437
"84-85" 10251 7651 10280 7656 10993 8088
"85-86" 11233 8475 11288 8496 11780 8790
"86-87" 12296 9379 12381 9419 12616 9546
"87-88" 13445 10369 13564 10430 13502 10360
"88-89" 14682 11449 14842 11536 14440 11235
"89-90" 16013 12627 16216 12742 15431 12174
"90-91" 17440 13906 17692 14055 16478 13180
"91-92" 18964 15293 19271 15478 17580 14255
"92-93" 20589 16790 20955 17018 18740 15403
"93-94" 22315 18403 22745 18676 19958 16625
"94-95" 24142 20133 24640 20457 21235 17923
"95-96" 26068 21982 26639 22361 22570 19299
"96-97" 28090 23950 28738 24387 23963 20755
"97-98" 30206 26035 30932 26534 25414 22289
"98-99" 32409 28234 33216 28799 26922 23903
"99-100" 34693 30542 35582 31174 28485 25596
