"age" "tm" "wm" "bm" "tf" "wf" "bf"
"0-1" 802 659 666 544 1602 1325
"1-2" 60 54 52 43 110 108
"2-3" 45 33 40 28 73 63
"3-4" 36 28 32 24 59 47
"4-5" 28 23 25 19 49 41
"5-6" 26 20 23 17 42 33
"6-7" 24 18 22 16 39 28
"7-8" 23 16 20 15 36 24
"8-9" 20 15 19 14 31 22
"9-10" 17 14 16 13 25 21
"10-11" 15 14 14 13 19 21
"11-12" 15 14 14 13 19 22
"12-13" 22 17 20 16 29 24
"13-14" 36 22 33 20 54 29
"14-15" 56 28 51 27 89 35
"15-16" 79 35 70 34 126 41
"16-17" 99 42 89 41 161 48
"17-18" 116 47 103 46 191 54
"18-19" 128 48 113 47 215 59
"19-20" 135 48 118 45 235 64
"20-21" 142 47 124 43 257 68
"21-22" 150 47 130 42 280 74
"22-23" 155 47 133 41 298 81
"23-24" 156 49 134 42 304 88
"24-25" 154 52 132 45 304 96
"25-26" 151 55 130 48 300 103
"26-27" 149 58 128 50 298 112
"27-28" 151 62 130 53 304 121
"28-29" 158 66 136 56 318 132
"29-30" 168 70 145 59 340 143
"30-31" 178 74 154 62 363 155
"31-32" 189 79 164 66 384 166
"32-33" 199 85 173 70 406 180
"33-34" 209 91 182 75 427 195
"34-35" 219 98 191 81 449 212
"35-36" 230 105 201 86 471 230
"36-37" 241 113 211 93 494 248
"37-38" 254 121 222 99 523 266
"38-39" 268 129 234 106 558 285
"39-40" 285 138 248 114 600 305
"40-41" 303 147 263 123 645 326
"41-42" 322 158 280 132 694 349
"42-43" 343 171 298 144 744 373
"43-44" 366 184 318 157 796 397
"44-45" 390 200 340 171 850 423
"45-46" 415 216 363 186 910 451
"46-47" 443 234 388 203 974 481
"47-48" 473 254 416 222 1038 514
"48-49" 507 277 449 245 1100 549
"49-50" 546 305 487 272 1163 588
"50-51" 593 338 534 304 1236 636
"51-52" 649 376 589 342 1321 691
"52-53" 709 416 647 380 1415 749
"53-54" 769 454 705 417 1512 805
"54-55" 831 491 764 452 1609 857
"55-56" 898 530 827 490 1703 908
"56-57" 976 577 902 536 1806 967
"57-58" 1067 631 990 589 1932 1038
"58-59" 1175 696 1094 651 2094 1129
"59-60" 1299 769 1214 722 2287 1239
"60-61" 1436 852 1345 802 2508 1361
"61-62" 1581 940 1486 888 2728 1487
"62-63" 1733 1032 1636 978 2917 1608
"63-64" 1886 1123 1793 1069 3048 1715
"64-65" 2038 1213 1953 1160 3136 1812
"65-66" 2185 1301 2109 1248 3190 1898
"66-67" 2338 1395 2270 1344 3265 1994
"67-68" 2521 1510 2458 1458 3417 2132
"68-69" 2749 1655 2685 1600 3697 2336
"69-70" 3021 1827 2950 1767 4102 2602
"70-71" 3319 2017 3237 1949 4606 2919
"71-72" 3624 2213 3531 2137 5136 3247
"72-73" 3940 2418 3839 2338 5637 3549
"73-74" 4259 2632 4159 2553 6014 3782
"74-75" 4589 2860 4496 2788 6268 3956
"75-76" 4940 3105 4856 3042 6482 4109
"76-77" 5327 3380 5253 3325 6749 4298
"77-78" 5767 3703 5703 3655 7076 4554
"78-79" 6283 4089 6228 4045 7535 4926
"79-80" 6884 4539 6837 4493 8146 5416
"80-81" 7590 5037 7552 4986 8902 5991
"81-82" 8388 5580 8360 5525 9744 6603
"82-83" 9243 6195 9225 6141 10633 7247
"83-84" 10113 6902 10109 6859 11440 7884
"84-85" 11011 7714 11027 7693 12117 8518
"85-86" 12003 8550 12042 8539 12874 9224
"86-87" 13032 9480 13100 9481 13659 9990
"87-88" 14140 10495 14238 10511 14480 10817
"88-89" 15341 11605 15473 11644 15342 11701
"89-90" 16640 12825 16810 12889 16240 12645
"90-91" 18017 14145 18234 14238 17165 13643
"91-92" 19445 15539 19720 15666 18110 14689
"92-93" 20900 16993 21245 17159 19065 15779
"93-94" 22373 18515 22806 18724 20019 16908
"94-95" 23859 20123 24398 20375 20968 18075
"95-96" 25363 21810 26018 22106 21911 19274
"96-97" 26882 23548 27653 23890 22852 20505
"97-98" 28408 25300 29288 25691 23792 21764
"98-99" 29936 27043 30918 27491 24731 23050
"99-100" 31465 28768 32538 29282 25670 24361
