"age" "tm" "wm" "bm" "tf" "wf" "bf"
"0-1" 764 627 642 512 1540 1322
"1-2" 52 42 47 38 82 61
"2-3" 37 28 33 26 54 41
"3-4" 28 20 25 18 43 27
"4-5" 23 17 21 15 37 27
"5-6" 19 16 17 15 26 21
"6-7" 16 13 16 12 20 18
"7-8" 16 12 15 11 19 18
"8-9" 17 13 15 13 27 17
"9-10" 16 13 14 12 28 19
"10-11" 18 13 16 11 25 20
"11-12" 18 13 16 12 27 19
"12-13" 22 14 20 13 35 22
"13-14" 26 19 24 18 35 21
"14-15" 32 21 30 20 46 25
"15-16" 44 25 43 25 52 28
"16-17" 75 39 73 40 91 33
"17-18" 91 44 88 45 113 42
"18-19" 121 47 115 46 165 51
"19-20" 140 46 132 46 191 51
"20-21" 139 45 129 44 206 60
"21-22" 144 50 134 49 226 66
"22-23" 139 47 125 42 231 71
"23-24" 142 45 130 42 234 72
"24-25" 139 49 126 46 244 70
"25-26" 134 50 120 46 248 81
"26-27" 138 51 123 46 258 89
"27-28" 130 51 114 44 259 93
"28-29" 130 56 117 53 244 92
"29-30" 138 60 123 52 267 123
"30-31" 141 63 129 56 256 115
"31-32" 145 67 132 59 272 120
"32-33" 139 72 125 63 255 137
"33-34" 158 79 146 70 270 149
"34-35" 164 85 148 76 312 158
"35-36" 178 96 158 86 346 175
"36-37" 187 103 168 93 352 185
"37-38" 201 112 187 100 336 199
"38-39" 222 122 202 108 393 228
"39-40" 240 143 223 129 402 262
"40-41" 266 149 251 136 425 262
"41-42" 283 165 265 147 468 313
"42-43" 297 175 277 157 492 311
"43-44" 328 199 307 177 541 382
"44-45" 358 209 335 185 587 403
"45-46" 384 230 356 207 664 425
"46-47" 425 238 396 213 721 440
"47-48" 446 258 414 231 774 478
"48-49" 495 286 453 254 907 542
"49-50" 528 303 487 272 961 569
"50-51" 570 319 523 284 1043 619
"51-52" 618 352 566 318 1147 663
"52-53" 643 363 591 329 1174 659
"53-54" 702 414 647 383 1288 714
"54-55" 732 443 676 408 1382 791
"55-56" 842 510 787 474 1555 902
"56-57" 832 501 777 465 1506 861
"57-58" 947 589 887 554 1668 968
"58-59" 1038 644 972 604 1848 1077
"59-60" 1176 727 1112 686 2025 1183
"60-61" 1210 758 1138 722 2116 1182
"61-62" 1351 848 1284 802 2242 1352
"62-63" 1488 920 1414 879 2484 1402
"63-64" 1611 1010 1541 967 2603 1543
"64-65" 1738 1115 1662 1071 2817 1637
"65-66" 1891 1211 1818 1165 2934 1778
"66-67" 2037 1306 1967 1254 3078 1945
"67-68" 2241 1457 2178 1411 3244 2055
"68-69" 2434 1559 2364 1510 3528 2185
"69-70" 2674 1740 2605 1685 3824 2444
"70-71" 2922 1899 2863 1856 4082 2578
"71-72" 3197 2045 3127 1988 4555 2877
"72-73" 3406 2252 3334 2202 4843 3044
"73-74" 3802 2463 3741 2416 5207 3252
"74-75" 4121 2714 4066 2664 5507 3540
"75-76" 4519 3010 4465 2954 5916 3944
"76-77" 4957 3263 4895 3209 6471 4236
"77-78" 5357 3609 5304 3561 6779 4626
"78-79" 5842 3947 5806 3918 7300 4793
"79-80" 6498 4411 6446 4381 8182 5400
"80-81" 7028 4930 6981 4914 8734 5693
"81-82" 7636 5330 7634 5329 8850 6028
"82-83" 8673 6218 8698 6206 9949 7102
"83-84" 8848 6455 8892 6453 9466 7125
"84-85" 10216 7506 10247 7530 11265 8036
"85-86" 11175 8322 11228 8358 12035 8728
"86-87" 12191 9200 12272 9254 12836 9465
"87-88" 13263 10139 13382 10221 13669 10249
"88-89" 14391 11140 14558 11262 14533 11081
"89-90" 15572 12204 15798 12379 15426 11962
"90-91" 16805 13328 17104 13574 16349 12894
"91-92" 18086 14512 18474 14848 17300 13878
"92-93" 19412 15753 19905 16202 18276 14915
"93-94" 20779 17049 21396 17636 19277 16004
"94-95" 22182 18395 22944 19151 20301 17147
"95-96" 23615 19788 24546 20746 21345 18345
"96-97" 25074 21222 26196 22418 22407 19596
"97-98" 26550 22690 27890 24167 23484 20901
"98-99" 28037 24188 29624 25990 24574 22259
"99-100" 29527 25705 31389 27881 25674 23670
