"age" "tm" "wm" "bm" "tf" "wf" "bf"
"0-1" 751 614 621 506 1543 1247
"1-2" 56 47 50 42 88 72
"2-3" 38 30 36 28 52 38
"3-4" 29 22 27 20 40 33
"4-5" 24 18 23 17 33 24
"5-6" 19 15 17 15 29 18
"6-7" 17 15 16 14 24 18
"7-8" 15 14 14 14 16 17
"8-9" 16 12 15 12 24 15
"9-10" 16 14 14 12 27 21
"10-11" 18 12 16 11 29 15
"11-12" 19 13 16 12 30 17
"12-13" 20 15 19 14 29 19
"13-14" 26 16 24 16 35 18
"14-15" 32 21 32 20 36 30
"15-16" 46 25 43 25 64 27
"16-17" 69 38 66 39 89 30
"17-18" 93 44 89 44 125 43
"18-19" 122 42 113 41 178 50
"19-20" 138 44 130 43 198 55
"20-21" 136 44 125 42 210 60
"21-22" 150 48 139 45 234 68
"22-23" 143 44 130 40 241 69
"23-24" 138 49 124 43 242 81
"24-25" 139 49 123 46 260 71
"25-26" 131 51 118 47 237 83
"26-27" 138 51 124 46 252 81
"27-28" 133 55 120 50 246 97
"28-29" 140 59 128 52 248 106
"29-30" 136 62 122 53 250 118
"30-31" 142 66 128 60 267 108
"31-32" 140 64 127 57 243 113
"32-33" 146 76 132 68 268 138
"33-34" 160 82 146 72 286 159
"34-35" 169 89 156 77 292 171
"35-36" 186 96 170 83 323 186
"36-37" 190 106 176 93 315 197
"37-38" 214 115 196 104 374 200
"38-39" 232 131 215 115 385 242
"39-40" 242 141 222 127 422 257
"40-41" 262 153 245 135 430 294
"41-42" 276 158 253 139 479 297
"42-43" 298 174 275 152 524 340
"43-44" 331 193 304 169 578 376
"44-45" 358 209 330 185 633 399
"45-46" 387 224 352 199 701 417
"46-47" 413 237 377 210 760 448
"47-48" 460 256 423 232 833 462
"48-49" 496 269 456 240 894 513
"49-50" 527 303 483 269 981 585
"50-51" 567 320 520 286 1060 616
"51-52" 592 337 542 305 1096 614
"52-53" 639 383 581 348 1216 693
"53-54" 666 414 615 379 1242 751
"54-55" 769 467 716 432 1416 829
"55-56" 764 465 709 430 1405 815
"56-57" 884 546 828 508 1536 946
"57-58" 961 602 894 563 1743 1014
"58-59" 1089 678 1024 639 1936 1108
"59-60" 1106 703 1033 659 1982 1178
"60-61" 1266 785 1206 748 2055 1199
"61-62" 1345 851 1268 807 2279 1344
"62-63" 1489 950 1420 904 2423 1494
"63-64" 1614 1045 1550 999 2534 1570
"64-65" 1768 1133 1696 1076 2768 1753
"65-66" 1934 1227 1855 1176 2997 1798
"66-67" 2075 1344 1995 1285 3186 2004
"67-68" 2288 1478 2218 1425 3375 2109
"68-69" 2492 1603 2408 1533 3726 2372
"69-70" 2721 1748 2645 1684 4052 2560
"70-71" 2935 1896 2873 1849 4164 2615
"71-72" 3202 2076 3118 2024 4694 2880
"72-73" 3529 2268 3449 2216 4985 3048
"73-74" 3876 2505 3803 2454 5358 3378
"74-75" 4180 2722 4117 2668 5623 3593
"75-76" 4595 2992 4526 2929 6100 3989
"76-77" 4996 3312 4936 3259 6511 4250
"77-78" 5434 3610 5375 3563 7017 4551
"78-79" 5978 4029 5927 3984 7557 5106
"79-80" 6559 4438 6506 4401 8294 5338
"80-81" 6994 4871 6953 4843 8585 5679
"81-82" 8047 5541 8042 5521 9442 6328
"82-83" 8282 5836 8250 5841 9691 6429
"83-84" 9477 6755 9481 6744 10700 7505
"84-85" 10312 7540 10339 7563 11388 7996
"85-86" 11280 8360 11328 8394 12165 8684
"86-87" 12305 9242 12382 9294 12975 9418
"87-88" 13388 10185 13502 10265 13817 10198
"88-89" 14526 11191 14687 11311 14690 11026
"89-90" 15718 12260 15939 12432 15594 11903
"90-91" 16962 13389 17257 13632 16527 12830
"91-92" 18256 14578 18638 14912 17488 13809
"92-93" 19594 15825 20082 16271 18475 14841
"93-94" 20974 17127 21587 17712 19487 15925
"94-95" 22390 18480 23149 19234 20522 17062
"95-96" 23837 19879 24764 20835 21577 18254
"96-97" 25309 21319 26429 22515 22650 19499
"97-98" 26799 22794 28139 24272 23740 20797
"98-99" 28300 24298 29888 26102 24842 22149
"99-100" 29804 25823 31669 28002 25954 23552
