"age" "tm" "wm" "bm" "tf" "wf" "bf"
"0-1" 748 609 622 507 1525 1237
"1-2" 51 46 46 42 76 66
"2-3" 33 27 30 23 47 41
"3-4" 25 20 22 18 40 30
"4-5" 21 17 20 15 31 25
"5-6" 19 15 17 13 28 24
"6-7" 18 14 17 12 26 21
"7-8" 17 13 16 12 24 19
"8-9" 15 12 14 11 21 18
"9-10" 12 11 12 10 17 18
"10-11" 10 11 10 9 15 18
"11-12" 11 11 10 10 16 19
"12-13" 16 14 15 12 22 21
"13-14" 27 18 26 17 35 24
"14-15" 43 24 41 23 55 27
"15-16" 61 31 58 31 77 31
"16-17" 78 37 75 38 100 36
"17-18" 94 42 90 43 123 41
"18-19" 106 45 102 45 144 46
"19-20" 117 45 111 45 163 51
"20-21" 127 46 120 44 182 56
"21-22" 136 46 128 44 200 62
"22-23" 142 47 133 44 215 68
"23-24" 144 48 134 44 225 72
"24-25" 142 49 131 45 231 77
"25-26" 139 51 128 46 236 83
"26-27" 136 52 124 47 242 89
"27-28" 134 54 122 48 246 95
"28-29" 134 56 121 50 249 101
"29-30" 134 59 121 53 250 107
"30-31" 135 63 122 56 251 113
"31-32" 137 67 125 59 253 121
"32-33" 141 71 128 64 257 129
"33-34" 147 76 135 68 264 137
"34-35" 155 82 143 74 274 147
"35-36" 165 89 153 81 286 158
"36-37" 177 97 164 88 301 170
"37-38" 191 107 178 97 320 187
"38-39" 208 119 194 108 341 210
"39-40" 225 132 212 119 366 235
"40-41" 244 145 230 130 391 262
"41-42" 263 159 249 142 419 288
"42-43" 285 173 269 155 456 314
"43-44" 311 188 293 169 504 342
"44-45" 341 206 320 185 563 371
"45-46" 374 224 348 203 627 402
"46-47" 407 244 378 221 693 434
"47-48" 443 263 411 239 764 469
"48-49" 481 282 445 256 839 506
"49-50" 521 300 481 272 919 545
"50-51" 565 320 522 289 1006 587
"51-52" 612 343 566 309 1100 633
"52-53" 659 370 609 334 1193 678
"53-54" 704 400 652 364 1281 724
"54-55" 749 435 694 399 1365 770
"55-56" 795 472 737 437 1454 820
"56-57" 846 514 786 479 1553 877
"57-58" 906 559 844 524 1661 940
"58-59" 981 611 917 576 1778 1011
"59-60" 1071 670 1006 634 1907 1089
"60-61" 1176 739 1111 703 2050 1176
"61-62" 1293 817 1228 780 2206 1274
"62-63" 1416 898 1350 860 2368 1376
"63-64" 1536 978 1469 939 2528 1479
"64-65" 1656 1058 1586 1017 2684 1583
"65-66" 1785 1147 1714 1104 2838 1691
"66-67" 1933 1250 1863 1206 3002 1809
"67-68" 2099 1366 2031 1323 3183 1940
"68-69" 2286 1497 2219 1454 3396 2089
"69-70" 2492 1641 2427 1599 3641 2258
"70-71" 2706 1794 2643 1753 3900 2437
"71-72" 2936 1962 2874 1922 4170 2627
"72-73" 3203 2150 3143 2112 4479 2845
"73-74" 3518 2364 3460 2326 4838 3096
"74-75" 3873 2599 3817 2562 5243 3376
"75-76" 4241 2836 4184 2798 5686 3669
"76-77" 4617 3085 4558 3046 6146 3972
"77-78" 5032 3382 4976 3345 6608 4298
"78-79" 5508 3748 5462 3716 7052 4655
"79-80" 6050 4179 6020 4156 7485 5047
"80-81" 6656 4646 6648 4630 7937 5476
"81-82" 7299 5131 7313 5119 8419 5934
"82-83" 7968 5661 8005 5656 8913 6420
"83-84" 8659 6261 8716 6267 9433 6941
"84-85" 9401 6953 9477 6975 10002 7517
"85-86" 10250 7665 10355 7706 10686 8113
"86-87" 11164 8441 11304 8506 11409 8752
"87-88" 12147 9288 12325 9380 12174 9435
"88-89" 13202 10208 13424 10332 12982 10164
"89-90" 14332 11208 14601 11367 13832 10944
"90-91" 15538 12291 15859 12489 14728 11774
"91-92" 16823 13460 17202 13704 15670 12658
"92-93" 18188 14720 18628 15014 16658 13597
"93-94" 19633 16073 20140 16422 17692 14594
"94-95" 21159 17522 21737 17931 18775 15649
"95-96" 22764 19069 23417 19543 19904 16764
"96-97" 24448 20713 25179 21257 21081 17940
"97-98" 26206 22455 27018 23072 22304 19179
"98-99" 28035 24292 28931 24987 23573 20480
"99-100" 29931 26222 30911 26997 24887 21843
