"age" "tm" "wm" "bm" "tf" "wf" "bf"
"0-1" 759 624 624 513 1556 1267
"1-2" 57 46 50 41 101 79
"2-3" 38 31 34 27 64 54
"3-4" 28 20 26 18 43 33
"4-5" 22 19 20 15 34 35
"5-6" 21 17 19 15 33 27
"6-7" 20 15 18 14 30 23
"7-8" 19 14 18 13 28 20
"8-9" 17 14 16 13 25 19
"9-10" 15 13 14 12 21 18
"10-11" 13 12 12 11 19 18
"11-12" 14 12 13 11 19 19
"12-13" 19 15 18 13 26 21
"13-14" 31 19 30 18 42 24
"14-15" 48 25 46 24 63 28
"15-16" 66 31 63 31 86 34
"16-17" 83 37 79 38 109 39
"17-18" 98 42 92 42 132 45
"18-19" 110 44 103 44 156 51
"19-20" 119 45 110 44 178 57
"20-21" 130 46 118 43 204 63
"21-22" 140 47 126 43 229 70
"22-23" 146 48 131 43 247 77
"23-24" 148 49 132 44 256 82
"24-25" 147 50 130 45 256 85
"25-26" 144 52 128 46 254 89
"26-27" 142 54 125 48 253 94
"27-28" 140 56 124 49 253 101
"28-29" 141 59 125 51 256 109
"29-30" 143 62 127 53 262 118
"30-31" 146 65 130 56 269 128
"31-32" 149 69 134 59 276 138
"32-33" 155 74 140 63 285 149
"33-34" 162 81 147 69 296 161
"34-35" 172 89 157 76 310 173
"35-36" 183 97 167 84 324 185
"36-37" 194 105 177 91 340 198
"37-38" 207 114 189 100 361 214
"38-39" 222 124 203 108 389 233
"39-40" 240 135 219 118 423 256
"40-41" 258 147 235 128 459 279
"41-42" 278 159 253 139 497 304
"42-43" 300 172 273 150 541 331
"43-44" 326 185 296 161 594 361
"44-45" 356 199 323 173 655 395
"45-46" 390 215 354 186 726 433
"46-47" 427 233 388 201 803 473
"47-48" 464 253 421 219 882 513
"48-49" 500 275 453 241 960 549
"49-50" 533 299 484 265 1036 583
"50-51" 569 325 515 292 1118 619
"51-52" 608 354 551 320 1209 660
"52-53" 653 385 592 351 1303 703
"53-54" 705 419 642 385 1397 747
"54-55" 767 458 702 423 1495 794
"55-56" 839 503 772 468 1602 846
"56-57" 920 555 851 519 1720 905
"57-58" 1008 612 937 575 1848 977
"58-59" 1100 672 1026 633 1981 1062
"59-60" 1196 736 1120 695 2118 1157
"60-61" 1303 809 1224 765 2261 1260
"61-62" 1425 891 1344 845 2410 1370
"62-63" 1556 979 1475 932 2557 1482
"63-64" 1695 1070 1615 1021 2696 1594
"64-65" 1842 1166 1764 1115 2832 1708
"65-66" 1994 1267 1918 1216 2957 1823
"66-67" 2159 1378 2087 1327 3089 1948
"67-68" 2350 1503 2281 1452 3263 2096
"68-69" 2574 1645 2507 1592 3506 2279
"69-70" 2825 1800 2758 1746 3813 2496
"70-71" 3083 1960 3014 1903 4156 2733
"71-72" 3344 2130 3272 2069 4506 2981
"72-73" 3626 2326 3552 2263 4875 3247
"73-74" 3939 2557 3864 2495 5250 3529
"74-75" 4284 2821 4210 2760 5634 3825
"75-76" 4647 3102 4572 3042 6050 4144
"76-77" 5024 3395 4949 3334 6501 4485
"77-78" 5440 3721 5367 3661 6964 4846
"78-79" 5917 4100 5852 4043 7440 5234
"79-80" 6477 4543 6425 4491 7946 5665
"80-81" 7143 5047 7108 5000 8525 6142
"81-82" 7907 5613 7891 5571 9195 6682
"82-83" 8746 6270 8749 6232 9928 7319
"83-84" 9614 7021 9634 6990 10678 8068
"84-85" 10504 7862 10541 7841 11422 8919
"85-86" 11490 8718 11550 8703 12202 9687
"86-87" 12535 9637 12624 9636 13014 10505
"87-88" 13637 10621 13766 10643 13858 11375
"88-89" 14797 11670 14975 11727 14734 12298
"89-90" 16011 12784 16252 12890 15640 13277
"90-91" 17279 13962 17595 14134 16576 14312
"91-92" 18596 15202 19004 15460 17540 15404
"92-93" 19960 16502 20476 16870 18530 16554
"93-94" 21365 17860 22010 18364 19545 17763
"94-95" 22808 19270 23602 19942 20582 19032
"95-96" 24282 20729 25250 21602 21641 20361
"96-97" 25781 22231 26947 23344 22718 21749
"97-98" 27299 23770 28690 25165 23810 23198
"98-99" 28828 25338 30473 27062 24915 24705
"99-100" 30360 26928 32290 29032 26031 26271
